errors,uncertainties,accuracy,iteration
0.01,0.01,1.0,1
0.01,0.01,1.0,1
0.01,0.01,1.0,1
0.05,0.01,1.0,1
0.05,0.01,1.0,1
0.05,0.01,1.0,1
0.1,0.01,,1
0.1,0.01,,1
0.1,0.01,,1
0.15,0.01,,1
0.15,0.01,,1
0.15,0.01,,1
0.2,0.01,,1
0.2,0.01,,1
0.2,0.01,,1
0.25,0.01,,1
0.25,0.01,,1
0.25,0.01,,1
0.3,0.01,,1
0.3,0.01,,1
0.3,0.01,,1
0.01,0.05,1.0,1
0.01,0.05,1.0,1
0.01,0.05,1.0,1
0.05,0.05,1.0,1
0.05,0.05,1.0,1
0.05,0.05,1.0,1
0.1,0.05,,1
0.1,0.05,,1
0.1,0.05,,1
0.15,0.05,,1
0.15,0.05,,1
0.15,0.05,,1
0.2,0.05,,1
0.2,0.05,,1
0.2,0.05,,1
0.25,0.05,,1
0.25,0.05,,1
0.25,0.05,,1
0.3,0.05,,1
0.3,0.05,,1
0.3,0.05,,1
0.01,0.1,0.6097560975609756,1
0.01,0.1,0.6097560975609756,1
0.01,0.1,0.6097560975609756,1
0.05,0.1,0.8333333333333334,1
0.05,0.1,0.8333333333333334,1
0.05,0.1,0.8333333333333334,1
0.1,0.1,,1
0.1,0.1,,1
0.1,0.1,,1
0.15,0.1,,1
0.15,0.1,,1
0.15,0.1,,1
0.2,0.1,,1
0.2,0.1,,1
0.2,0.1,,1
0.25,0.1,,1
0.25,0.1,,1
0.25,0.1,,1
0.3,0.1,,1
0.3,0.1,,1
0.3,0.1,,1
0.01,0.15,0.5952380952380952,1
0.01,0.15,0.5952380952380952,1
0.01,0.15,0.5952380952380952,1
0.05,0.15,0.5952380952380952,1
0.05,0.15,0.5952380952380952,1
0.05,0.15,0.5952380952380952,1
0.1,0.15,0.7272727272727273,1
0.1,0.15,0.7272727272727273,1
0.1,0.15,0.7272727272727273,1
0.15,0.15,,1
0.15,0.15,,1
0.15,0.15,,1
0.2,0.15,,1
0.2,0.15,,1
0.2,0.15,,1
0.25,0.15,,1
0.25,0.15,,1
0.25,0.15,,1
0.3,0.15,,1
0.3,0.15,,1
0.3,0.15,,1
0.01,0.2,0.5952380952380952,1
0.01,0.2,0.5952380952380952,1
0.01,0.2,0.5952380952380952,1
0.05,0.2,0.5952380952380952,1
0.05,0.2,0.5952380952380952,1
0.05,0.2,0.5952380952380952,1
0.1,0.2,0.6,1
0.1,0.2,0.6,1
0.1,0.2,0.6,1
0.15,0.2,0.6428571428571429,1
0.15,0.2,0.6428571428571429,1
0.15,0.2,0.6428571428571429,1
0.2,0.2,,1
0.2,0.2,,1
0.2,0.2,,1
0.25,0.2,,1
0.25,0.2,,1
0.25,0.2,,1
0.3,0.2,,1
0.3,0.2,,1
0.3,0.2,,1
0.01,0.25,0.5208333333333334,1
0.01,0.25,0.5208333333333334,1
0.01,0.25,0.5208333333333334,1
0.05,0.25,0.5434782608695652,1
0.05,0.25,0.5434782608695652,1
0.05,0.25,0.5434782608695652,1
0.1,0.25,0.5333333333333333,1
0.1,0.25,0.5333333333333333,1
0.1,0.25,0.5333333333333333,1
0.15,0.25,0.5365853658536586,1
0.15,0.25,0.5365853658536586,1
0.15,0.25,0.5365853658536586,1
0.2,0.25,0.0,1
0.2,0.25,0.0,1
0.2,0.25,0.0,1
0.25,0.25,,1
0.25,0.25,,1
0.25,0.25,,1
0.3,0.25,,1
0.3,0.25,,1
0.3,0.25,,1
0.01,0.3,0.5208333333333334,1
0.01,0.3,0.5208333333333334,1
0.01,0.3,0.5208333333333334,1
0.05,0.3,0.5208333333333334,1
0.05,0.3,0.5208333333333334,1
0.05,0.3,0.5208333333333334,1
0.1,0.3,0.5217391304347826,1
0.1,0.3,0.5217391304347826,1
0.1,0.3,0.5217391304347826,1
0.15,0.3,0.4782608695652174,1
0.15,0.3,0.4782608695652174,1
0.15,0.3,0.4782608695652174,1
0.2,0.3,0.475,1
0.2,0.3,0.475,1
0.2,0.3,0.475,1
0.25,0.3,0.0,1
0.25,0.3,0.0,1
0.25,0.3,0.0,1
0.3,0.3,,1
0.3,0.3,,1
0.3,0.3,,1
0.01,0.01,1.0,2
0.01,0.01,1.0,2
0.01,0.01,1.0,2
0.05,0.01,1.0,2
0.05,0.01,1.0,2
0.05,0.01,1.0,2
0.1,0.01,0.925925925925926,2
0.1,0.01,0.925925925925926,2
0.1,0.01,0.925925925925926,2
0.15,0.01,0.0,2
0.15,0.01,0.0,2
0.15,0.01,0.0,2
0.2,0.01,0.0,2
0.2,0.01,0.0,2
0.2,0.01,0.0,2
0.25,0.01,,2
0.25,0.01,,2
0.25,0.01,,2
0.3,0.01,,2
0.3,0.01,,2
0.3,0.01,,2
0.01,0.05,1.0,2
0.01,0.05,1.0,2
0.01,0.05,1.0,2
0.05,0.05,0.8928571428571429,2
0.05,0.05,0.8928571428571429,2
0.05,0.05,0.8928571428571429,2
0.1,0.05,0.8620689655172413,2
0.1,0.05,0.8620689655172413,2
0.1,0.05,0.8620689655172413,2
0.15,0.05,0.3636363636363636,2
0.15,0.05,0.3636363636363636,2
0.15,0.05,0.3636363636363636,2
0.2,0.05,0.0,2
0.2,0.05,0.0,2
0.2,0.05,0.0,2
0.25,0.05,,2
0.25,0.05,,2
0.25,0.05,,2
0.3,0.05,,2
0.3,0.05,,2
0.3,0.05,,2
0.01,0.1,0.5681818181818182,2
0.01,0.1,0.5681818181818182,2
0.01,0.1,0.5681818181818182,2
0.05,0.1,0.6410256410256411,2
0.05,0.1,0.6410256410256411,2
0.05,0.1,0.6410256410256411,2
0.1,0.1,0.7142857142857143,2
0.1,0.1,0.7142857142857143,2
0.1,0.1,0.7142857142857143,2
0.15,0.1,0.5757575757575758,2
0.15,0.1,0.5757575757575758,2
0.15,0.1,0.5757575757575758,2
0.2,0.1,0.0625,2
0.2,0.1,0.0625,2
0.2,0.1,0.0625,2
0.25,0.1,0.0,2
0.25,0.1,0.0,2
0.25,0.1,0.0,2
0.3,0.1,0.0,2
0.3,0.1,0.0,2
0.3,0.1,0.0,2
0.01,0.15,0.5555555555555556,2
0.01,0.15,0.5555555555555556,2
0.01,0.15,0.5555555555555556,2
0.05,0.15,0.5555555555555556,2
0.05,0.15,0.5555555555555556,2
0.05,0.15,0.5555555555555556,2
0.1,0.15,0.5681818181818182,2
0.1,0.15,0.5681818181818182,2
0.1,0.15,0.5681818181818182,2
0.15,0.15,0.4878048780487805,2
0.15,0.15,0.4878048780487805,2
0.15,0.15,0.4878048780487805,2
0.2,0.15,0.4444444444444444,2
0.2,0.15,0.4444444444444444,2
0.2,0.15,0.4444444444444444,2
0.25,0.15,0.2307692307692307,2
0.25,0.15,0.2307692307692307,2
0.25,0.15,0.2307692307692307,2
0.3,0.15,0.0,2
0.3,0.15,0.0,2
0.3,0.15,0.0,2
0.01,0.2,0.5555555555555556,2
0.01,0.2,0.5555555555555556,2
0.01,0.2,0.5555555555555556,2
0.05,0.2,0.5555555555555556,2
0.05,0.2,0.5555555555555556,2
0.05,0.2,0.5555555555555556,2
0.1,0.2,0.5555555555555556,2
0.1,0.2,0.5555555555555556,2
0.1,0.2,0.5555555555555556,2
0.15,0.2,0.4347826086956521,2
0.15,0.2,0.4347826086956521,2
0.15,0.2,0.4347826086956521,2
0.2,0.2,0.3636363636363636,2
0.2,0.2,0.3636363636363636,2
0.2,0.2,0.3636363636363636,2
0.25,0.2,0.2926829268292683,2
0.25,0.2,0.2926829268292683,2
0.25,0.2,0.2926829268292683,2
0.3,0.2,0.2432432432432432,2
0.3,0.2,0.2432432432432432,2
0.3,0.2,0.2432432432432432,2
0.01,0.25,0.5102040816326531,2
0.01,0.25,0.5102040816326531,2
0.01,0.25,0.5102040816326531,2
0.05,0.25,0.5102040816326531,2
0.05,0.25,0.5102040816326531,2
0.05,0.25,0.5102040816326531,2
0.1,0.25,0.5102040816326531,2
0.1,0.25,0.5102040816326531,2
0.1,0.25,0.5102040816326531,2
0.15,0.25,0.4081632653061224,2
0.15,0.25,0.4081632653061224,2
0.15,0.25,0.4081632653061224,2
0.2,0.25,0.3404255319148936,2
0.2,0.25,0.3404255319148936,2
0.2,0.25,0.3404255319148936,2
0.25,0.25,0.2608695652173913,2
0.25,0.25,0.2608695652173913,2
0.25,0.25,0.2608695652173913,2
0.3,0.25,0.1956521739130435,2
0.3,0.25,0.1956521739130435,2
0.3,0.25,0.1956521739130435,2
0.01,0.3,0.5102040816326531,2
0.01,0.3,0.5102040816326531,2
0.01,0.3,0.5102040816326531,2
0.05,0.3,0.5102040816326531,2
0.05,0.3,0.5102040816326531,2
0.05,0.3,0.5102040816326531,2
0.1,0.3,0.5102040816326531,2
0.1,0.3,0.5102040816326531,2
0.1,0.3,0.5102040816326531,2
0.15,0.3,0.4081632653061224,2
0.15,0.3,0.4081632653061224,2
0.15,0.3,0.4081632653061224,2
0.2,0.3,0.3265306122448979,2
0.2,0.3,0.3265306122448979,2
0.2,0.3,0.3265306122448979,2
0.25,0.3,0.2653061224489796,2
0.25,0.3,0.2653061224489796,2
0.25,0.3,0.2653061224489796,2
0.3,0.3,0.1875,2
0.3,0.3,0.1875,2
0.3,0.3,0.1875,2
0.01,0.01,1.0,3
0.01,0.01,1.0,3
0.01,0.01,1.0,3
0.05,0.01,1.0,3
0.05,0.01,1.0,3
0.05,0.01,1.0,3
0.1,0.01,0.9565217391304348,3
0.1,0.01,0.9565217391304348,3
0.1,0.01,0.9565217391304348,3
0.15,0.01,0.0,3
0.15,0.01,0.0,3
0.15,0.01,0.0,3
0.2,0.01,,3
0.2,0.01,,3
0.2,0.01,,3
0.25,0.01,,3
0.25,0.01,,3
0.25,0.01,,3
0.3,0.01,,3
0.3,0.01,,3
0.3,0.01,,3
0.01,0.05,1.0,3
0.01,0.05,1.0,3
0.01,0.05,1.0,3
0.05,0.05,1.0,3
0.05,0.05,1.0,3
0.05,0.05,1.0,3
0.1,0.05,0.9615384615384616,3
0.1,0.05,0.9615384615384616,3
0.1,0.05,0.9615384615384616,3
0.15,0.05,0.0,3
0.15,0.05,0.0,3
0.15,0.05,0.0,3
0.2,0.05,0.0,3
0.2,0.05,0.0,3
0.2,0.05,0.0,3
0.25,0.05,,3
0.25,0.05,,3
0.25,0.05,,3
0.3,0.05,,3
0.3,0.05,,3
0.3,0.05,,3
0.01,0.1,0.7352941176470589,3
0.01,0.1,0.7352941176470589,3
0.01,0.1,0.7352941176470589,3
0.05,0.1,0.6944444444444444,3
0.05,0.1,0.6944444444444444,3
0.05,0.1,0.6944444444444444,3
0.1,0.1,0.7352941176470589,3
0.1,0.1,0.7352941176470589,3
0.1,0.1,0.7352941176470589,3
0.15,0.1,0.7272727272727273,3
0.15,0.1,0.7272727272727273,3
0.15,0.1,0.7272727272727273,3
0.2,0.1,0.0,3
0.2,0.1,0.0,3
0.2,0.1,0.0,3
0.25,0.1,0.0,3
0.25,0.1,0.0,3
0.25,0.1,0.0,3
0.3,0.1,0.0,3
0.3,0.1,0.0,3
0.3,0.1,0.0,3
0.01,0.15,0.5319148936170213,3
0.01,0.15,0.5319148936170213,3
0.01,0.15,0.5319148936170213,3
0.05,0.15,0.5319148936170213,3
0.05,0.15,0.5319148936170213,3
0.05,0.15,0.5319148936170213,3
0.1,0.15,0.5319148936170213,3
0.1,0.15,0.5319148936170213,3
0.1,0.15,0.5319148936170213,3
0.15,0.15,0.5333333333333333,3
0.15,0.15,0.5333333333333333,3
0.15,0.15,0.5333333333333333,3
0.2,0.15,0.55,3
0.2,0.15,0.55,3
0.2,0.15,0.55,3
0.25,0.15,0.1904761904761904,3
0.25,0.15,0.1904761904761904,3
0.25,0.15,0.1904761904761904,3
0.3,0.15,0.0,3
0.3,0.15,0.0,3
0.3,0.15,0.0,3
0.01,0.2,0.5319148936170213,3
0.01,0.2,0.5319148936170213,3
0.01,0.2,0.5319148936170213,3
0.05,0.2,0.5319148936170213,3
0.05,0.2,0.5319148936170213,3
0.05,0.2,0.5319148936170213,3
0.1,0.2,0.5319148936170213,3
0.1,0.2,0.5319148936170213,3
0.1,0.2,0.5319148936170213,3
0.15,0.2,0.5106382978723404,3
0.15,0.2,0.5106382978723404,3
0.15,0.2,0.5106382978723404,3
0.2,0.2,0.4680851063829787,3
0.2,0.2,0.4680851063829787,3
0.2,0.2,0.4680851063829787,3
0.25,0.2,0.3695652173913043,3
0.25,0.2,0.3695652173913043,3
0.25,0.2,0.3695652173913043,3
0.3,0.2,0.3571428571428571,3
0.3,0.2,0.3571428571428571,3
0.3,0.2,0.3571428571428571,3
0.01,0.25,0.5102040816326531,3
0.01,0.25,0.5102040816326531,3
0.01,0.25,0.5102040816326531,3
0.05,0.25,0.5102040816326531,3
0.05,0.25,0.5102040816326531,3
0.05,0.25,0.5102040816326531,3
0.1,0.25,0.5102040816326531,3
0.1,0.25,0.5102040816326531,3
0.1,0.25,0.5102040816326531,3
0.15,0.25,0.4897959183673469,3
0.15,0.25,0.4897959183673469,3
0.15,0.25,0.4897959183673469,3
0.2,0.25,0.4791666666666667,3
0.2,0.25,0.4791666666666667,3
0.2,0.25,0.4791666666666667,3
0.25,0.25,0.4166666666666667,3
0.25,0.25,0.4166666666666667,3
0.25,0.25,0.4166666666666667,3
0.3,0.25,0.3333333333333333,3
0.3,0.25,0.3333333333333333,3
0.3,0.25,0.3333333333333333,3
0.01,0.3,0.5102040816326531,3
0.01,0.3,0.5102040816326531,3
0.01,0.3,0.5102040816326531,3
0.05,0.3,0.5102040816326531,3
0.05,0.3,0.5102040816326531,3
0.05,0.3,0.5102040816326531,3
0.1,0.3,0.5102040816326531,3
0.1,0.3,0.5102040816326531,3
0.1,0.3,0.5102040816326531,3
0.15,0.3,0.4897959183673469,3
0.15,0.3,0.4897959183673469,3
0.15,0.3,0.4897959183673469,3
0.2,0.3,0.4897959183673469,3
0.2,0.3,0.4897959183673469,3
0.2,0.3,0.4897959183673469,3
0.25,0.3,0.4285714285714285,3
0.25,0.3,0.4285714285714285,3
0.25,0.3,0.4285714285714285,3
0.3,0.3,0.3265306122448979,3
0.3,0.3,0.3265306122448979,3
0.3,0.3,0.3265306122448979,3
0.01,0.01,1.0,4
0.01,0.01,1.0,4
0.01,0.01,1.0,4
0.05,0.01,1.0,4
0.05,0.01,1.0,4
0.05,0.01,1.0,4
0.1,0.01,0.9565217391304348,4
0.1,0.01,0.9565217391304348,4
0.1,0.01,0.9565217391304348,4
0.15,0.01,0.0,4
0.15,0.01,0.0,4
0.15,0.01,0.0,4
0.2,0.01,0.0,4
0.2,0.01,0.0,4
0.2,0.01,0.0,4
0.25,0.01,,4
0.25,0.01,,4
0.25,0.01,,4
0.3,0.01,,4
0.3,0.01,,4
0.3,0.01,,4
0.01,0.05,1.0,4
0.01,0.05,1.0,4
0.01,0.05,1.0,4
0.05,0.05,1.0,4
0.05,0.05,1.0,4
0.05,0.05,1.0,4
0.1,0.05,0.9230769230769232,4
0.1,0.05,0.9230769230769232,4
0.1,0.05,0.9230769230769232,4
0.15,0.05,0.0,4
0.15,0.05,0.0,4
0.15,0.05,0.0,4
0.2,0.05,0.0,4
0.2,0.05,0.0,4
0.2,0.05,0.0,4
0.25,0.05,0.0,4
0.25,0.05,0.0,4
0.25,0.05,0.0,4
0.3,0.05,,4
0.3,0.05,,4
0.3,0.05,,4
0.01,0.1,0.7352941176470589,4
0.01,0.1,0.7352941176470589,4
0.01,0.1,0.7352941176470589,4
0.05,0.1,0.78125,4
0.05,0.1,0.78125,4
0.05,0.1,0.78125,4
0.1,0.1,0.8,4
0.1,0.1,0.8,4
0.1,0.1,0.8,4
0.15,0.1,0.7586206896551724,4
0.15,0.1,0.7586206896551724,4
0.15,0.1,0.7586206896551724,4
0.2,0.1,0.0,4
0.2,0.1,0.0,4
0.2,0.1,0.0,4
0.25,0.1,0.0,4
0.25,0.1,0.0,4
0.25,0.1,0.0,4
0.3,0.1,0.0,4
0.3,0.1,0.0,4
0.3,0.1,0.0,4
0.01,0.15,0.6097560975609756,4
0.01,0.15,0.6097560975609756,4
0.01,0.15,0.6097560975609756,4
0.05,0.15,0.6097560975609756,4
0.05,0.15,0.6097560975609756,4
0.05,0.15,0.6097560975609756,4
0.1,0.15,0.5853658536585366,4
0.1,0.15,0.5853658536585366,4
0.1,0.15,0.5853658536585366,4
0.15,0.15,0.6052631578947368,4
0.15,0.15,0.6052631578947368,4
0.15,0.15,0.6052631578947368,4
0.2,0.15,0.4722222222222222,4
0.2,0.15,0.4722222222222222,4
0.2,0.15,0.4722222222222222,4
0.25,0.15,0.2608695652173913,4
0.25,0.15,0.2608695652173913,4
0.25,0.15,0.2608695652173913,4
0.3,0.15,0.0,4
0.3,0.15,0.0,4
0.3,0.15,0.0,4
0.01,0.2,0.6097560975609756,4
0.01,0.2,0.6097560975609756,4
0.01,0.2,0.6097560975609756,4
0.05,0.2,0.6097560975609756,4
0.05,0.2,0.6097560975609756,4
0.05,0.2,0.6097560975609756,4
0.1,0.2,0.5952380952380952,4
0.1,0.2,0.5952380952380952,4
0.1,0.2,0.5952380952380952,4
0.15,0.2,0.5476190476190477,4
0.15,0.2,0.5476190476190477,4
0.15,0.2,0.5476190476190477,4
0.2,0.2,0.4285714285714285,4
0.2,0.2,0.4285714285714285,4
0.2,0.2,0.4285714285714285,4
0.25,0.2,0.4,4
0.25,0.2,0.4,4
0.25,0.2,0.4,4
0.3,0.2,0.3157894736842105,4
0.3,0.2,0.3157894736842105,4
0.3,0.2,0.3157894736842105,4
0.01,0.25,0.5208333333333334,4
0.01,0.25,0.5208333333333334,4
0.01,0.25,0.5208333333333334,4
0.05,0.25,0.5208333333333334,4
0.05,0.25,0.5208333333333334,4
0.05,0.25,0.5208333333333334,4
0.1,0.25,0.5208333333333334,4
0.1,0.25,0.5208333333333334,4
0.1,0.25,0.5208333333333334,4
0.15,0.25,0.4791666666666667,4
0.15,0.25,0.4791666666666667,4
0.15,0.25,0.4791666666666667,4
0.2,0.25,0.391304347826087,4
0.2,0.25,0.391304347826087,4
0.2,0.25,0.391304347826087,4
0.25,0.25,0.3777777777777777,4
0.25,0.25,0.3777777777777777,4
0.25,0.25,0.3777777777777777,4
0.3,0.25,0.2954545454545454,4
0.3,0.25,0.2954545454545454,4
0.3,0.25,0.2954545454545454,4
0.01,0.3,0.5102040816326531,4
0.01,0.3,0.5102040816326531,4
0.01,0.3,0.5102040816326531,4
0.05,0.3,0.5102040816326531,4
0.05,0.3,0.5102040816326531,4
0.05,0.3,0.5102040816326531,4
0.1,0.3,0.5102040816326531,4
0.1,0.3,0.5102040816326531,4
0.1,0.3,0.5102040816326531,4
0.15,0.3,0.4693877551020408,4
0.15,0.3,0.4693877551020408,4
0.15,0.3,0.4693877551020408,4
0.2,0.3,0.3673469387755102,4
0.2,0.3,0.3673469387755102,4
0.2,0.3,0.3673469387755102,4
0.25,0.3,0.3541666666666667,4
0.25,0.3,0.3541666666666667,4
0.25,0.3,0.3541666666666667,4
0.3,0.3,0.2765957446808511,4
0.3,0.3,0.2765957446808511,4
0.3,0.3,0.2765957446808511,4
0.01,0.01,1.0,5
0.01,0.01,1.0,5
0.01,0.01,1.0,5
0.05,0.01,1.0,5
0.05,0.01,1.0,5
0.05,0.01,1.0,5
0.1,0.01,0.96,5
0.1,0.01,0.96,5
0.1,0.01,0.96,5
0.15,0.01,0.0,5
0.15,0.01,0.0,5
0.15,0.01,0.0,5
0.2,0.01,0.0,5
0.2,0.01,0.0,5
0.2,0.01,0.0,5
0.25,0.01,0.0,5
0.25,0.01,0.0,5
0.25,0.01,0.0,5
0.3,0.01,,5
0.3,0.01,,5
0.3,0.01,,5
0.01,0.05,1.0,5
0.01,0.05,1.0,5
0.01,0.05,1.0,5
0.05,0.05,1.0,5
0.05,0.05,1.0,5
0.05,0.05,1.0,5
0.1,0.05,0.925925925925926,5
0.1,0.05,0.925925925925926,5
0.1,0.05,0.925925925925926,5
0.15,0.05,0.0,5
0.15,0.05,0.0,5
0.15,0.05,0.0,5
0.2,0.05,0.0,5
0.2,0.05,0.0,5
0.2,0.05,0.0,5
0.25,0.05,0.0,5
0.25,0.05,0.0,5
0.25,0.05,0.0,5
0.3,0.05,,5
0.3,0.05,,5
0.3,0.05,,5
0.01,0.1,0.8333333333333334,5
0.01,0.1,0.8333333333333334,5
0.01,0.1,0.8333333333333334,5
0.05,0.1,0.78125,5
0.05,0.1,0.78125,5
0.05,0.1,0.78125,5
0.1,0.1,0.78125,5
0.1,0.1,0.78125,5
0.1,0.1,0.78125,5
0.15,0.1,0.59375,5
0.15,0.1,0.59375,5
0.15,0.1,0.59375,5
0.2,0.1,0.0,5
0.2,0.1,0.0,5
0.2,0.1,0.0,5
0.25,0.1,0.0,5
0.25,0.1,0.0,5
0.25,0.1,0.0,5
0.3,0.1,0.0,5
0.3,0.1,0.0,5
0.3,0.1,0.0,5
0.01,0.15,0.5319148936170213,5
0.01,0.15,0.5319148936170213,5
0.01,0.15,0.5319148936170213,5
0.05,0.15,0.5319148936170213,5
0.05,0.15,0.5319148936170213,5
0.05,0.15,0.5319148936170213,5
0.1,0.15,0.5681818181818182,5
0.1,0.15,0.5681818181818182,5
0.1,0.15,0.5681818181818182,5
0.15,0.15,0.4761904761904761,5
0.15,0.15,0.4761904761904761,5
0.15,0.15,0.4761904761904761,5
0.2,0.15,0.3809523809523809,5
0.2,0.15,0.3809523809523809,5
0.2,0.15,0.3809523809523809,5
0.25,0.15,0.0833333333333333,5
0.25,0.15,0.0833333333333333,5
0.25,0.15,0.0833333333333333,5
0.3,0.15,0.0,5
0.3,0.15,0.0,5
0.3,0.15,0.0,5
0.01,0.2,0.5319148936170213,5
0.01,0.2,0.5319148936170213,5
0.01,0.2,0.5319148936170213,5
0.05,0.2,0.5208333333333334,5
0.05,0.2,0.5208333333333334,5
0.05,0.2,0.5208333333333334,5
0.1,0.2,0.5208333333333334,5
0.1,0.2,0.5208333333333334,5
0.1,0.2,0.5208333333333334,5
0.15,0.2,0.4166666666666667,5
0.15,0.2,0.4166666666666667,5
0.15,0.2,0.4166666666666667,5
0.2,0.2,0.3404255319148936,5
0.2,0.2,0.3404255319148936,5
0.2,0.2,0.3404255319148936,5
0.25,0.2,0.3111111111111111,5
0.25,0.2,0.3111111111111111,5
0.25,0.2,0.3111111111111111,5
0.3,0.2,0.2790697674418604,5
0.3,0.2,0.2790697674418604,5
0.3,0.2,0.2790697674418604,5
0.01,0.25,0.5102040816326531,5
0.01,0.25,0.5102040816326531,5
0.01,0.25,0.5102040816326531,5
0.05,0.25,0.5102040816326531,5
0.05,0.25,0.5102040816326531,5
0.05,0.25,0.5102040816326531,5
0.1,0.25,0.5102040816326531,5
0.1,0.25,0.5102040816326531,5
0.1,0.25,0.5102040816326531,5
0.15,0.25,0.4081632653061224,5
0.15,0.25,0.4081632653061224,5
0.15,0.25,0.4081632653061224,5
0.2,0.25,0.3673469387755102,5
0.2,0.25,0.3673469387755102,5
0.2,0.25,0.3673469387755102,5
0.25,0.25,0.3061224489795918,5
0.25,0.25,0.3061224489795918,5
0.25,0.25,0.3061224489795918,5
0.3,0.25,0.2857142857142857,5
0.3,0.25,0.2857142857142857,5
0.3,0.25,0.2857142857142857,5
0.01,0.3,0.5102040816326531,5
0.01,0.3,0.5102040816326531,5
0.01,0.3,0.5102040816326531,5
0.05,0.3,0.5102040816326531,5
0.05,0.3,0.5102040816326531,5
0.05,0.3,0.5102040816326531,5
0.1,0.3,0.5102040816326531,5
0.1,0.3,0.5102040816326531,5
0.1,0.3,0.5102040816326531,5
0.15,0.3,0.4081632653061224,5
0.15,0.3,0.4081632653061224,5
0.15,0.3,0.4081632653061224,5
0.2,0.3,0.3673469387755102,5
0.2,0.3,0.3673469387755102,5
0.2,0.3,0.3673469387755102,5
0.25,0.3,0.3061224489795918,5
0.25,0.3,0.3061224489795918,5
0.25,0.3,0.3061224489795918,5
